filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,EL10,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,ER10,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,first_frame_0_ILD,save
bbd,-8,65.4367353042399,69.08948437118873,69.79243718695152,67.67786885004915,69.00547255946893,68.53573805203531,69.69111532399961,68.90406382283408,67.27479712117768,69.33940838266285,69.66440457782622,65.4367353042399,59.78502335937628,62.92295527712205,62.21999767851304,62.13342937221937,60.70337599972646,60.06315747744387,61.79379177081455,60.95884307872693,60.84719715801317,60.51302354206657,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbe,-8,66.15978266897709,69.7732139104305,69.10698964942752,69.09934939996606,69.01687723647778,69.52024278438843,69.65499055243427,68.46280623345115,67.85395502731556,69.57764898939381,67.94789061600079,66.15978266897709,60.834556714501026,61.514472115100034,62.359976536849786,60.7705269319704,60.6614077790909,61.31069874862557,60.91699036610925,62.74747817724221,61.74225313638313,60.20677912050397,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbf,-8,65.24239758502378,70.37015923055887,69.48765540820024,69.84077112955056,68.20487753790769,69.29116896575655,70.13500031624848,69.73150208870706,68.33074850013077,70.45745571250967,68.99417619234394,65.24239758502378,62.48924054843996,61.542848451975,62.437771778162336,62.70429599388131,61.55981830477055,61.458316670809396,62.54220226450331,61.90277560535915,61.48424946520235,61.51053662790919,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbg,-8,64.81093294366092,68.70505288526051,70.28265767468835,68.92142598781162,70.11861262765119,68.12872311999145,70.99340845500379,70.33793423443386,68.96361632742845,67.89465003247538,69.4176429617053,64.81093294366092,62.020208910813984,60.80328399668866,61.13568843938104,62.28525377005328,62.297965519221705,63.0001379345146,61.00301236405217,60.83674420219408,62.394154846086046,62.653433871320864,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbh,-8,63.80237731594336,70.31523877218328,68.25874251899211,69.40564972504215,68.78892051746863,69.30324956952626,70.37134347784878,69.43152158360304,68.85967987550043,69.00587208582938,70.06781779424473,63.80237731594336,61.545629180630705,61.86142319135329,60.228457542315326,60.110868357325586,61.79253075208644,61.439211840341436,61.18527070956414,60.35400570289659,63.06383218751429,59.174284827318736,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbi,-8,65.18131299822306,70.40220367904328,70.25370164878845,69.21134043873018,70.3559565866537,69.50809386108885,68.09754912555759,68.30718095190367,69.46124404341028,68.33039362326144,69.31854541425783,65.18131299822306,59.12150345777646,61.791889815939925,61.30233196863403,62.40599217178699,61.541341326732265,60.880039274718705,61.85070502309957,61.769079657584264,62.32809986387759,60.35192595625557,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbj,-8,66.17814584928544,71.07094517718542,67.32576552787418,69.12982089036618,69.28067136916381,69.32344882255929,71.16548846877743,68.95356332001417,69.4042840283137,70.47211193155236,68.66210051315032,66.17814584928544,62.190659708721626,60.79262419218602,61.08144467485663,59.912001006928186,61.64311858963474,61.254219812283196,61.84370676595009,62.296607667133074,61.77890105217842,63.047914619980105,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbk,-8,65.42869154585202,66.90235901542485,70.98006592510743,68.90122929793158,69.20380528592874,69.57210686547563,69.42490299715105,69.21473785348931,68.60801356509111,69.48233919763418,70.18428285450409,65.42869154585202,61.91312793063006,61.13157042086302,61.3821608465386,61.81378364967998,62.08789383026386,60.52650460725843,61.18608478472678,60.98232886403333,60.96580172804257,60.16792044490193,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbl,-8,66.0366220624321,70.52049123723162,68.96361433159872,70.3665695791418,69.45179776620945,67.37939259873829,68.08122442566567,69.51114416228458,68.74139654783087,68.55199207605031,69.29277908084401,66.0366220624321,61.84662392962938,62.501837108177206,60.4157965941885,60.67740517803208,62.05911320178563,61.86869577428381,61.053900524749785,60.82542792849456,62.74302216837369,62.9166568026282,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbm,-8,64.85448663807148,70.28469636808892,67.43370517732602,69.72163448332837,71.22885150417561,70.15258301003904,68.52112327822472,69.27082491978587,70.0601715552178,70.70432507808697,69.65726314233964,64.85448663807148,61.31716359293713,61.06867497144314,62.25506483783289,61.378587855436116,62.29278233325883,60.053975514087035,62.084383884821094,60.145607278611024,63.793745382665506,60.68718394411886,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
