filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,EL10,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,ER10,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,first_frame_0_ILD,save
bbd,-8,62.35399836906295,68.86412628337379,65.75324085686243,66.30919834628516,66.80546331226955,67.16671964411587,67.82978936856736,65.10462550230984,67.46840164436456,67.0673727939168,67.84783381183944,62.35399836906295,60.867086492575865,60.07734061339743,59.77589643275839,57.841138288297415,56.87162700356714,57.534090908859234,58.933793128409015,58.74962153431636,57.799999332946875,58.35906890435317,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbe,-8,63.10636789108358,66.67170017291511,66.4697223214403,67.89855838585856,66.6967801681374,68.95846568964767,66.03739194252297,66.992330977816,66.8117279297781,66.64371646762054,67.8283769580876,63.10636789108358,62.172462621403156,59.08959656451377,61.54149754639928,61.065422493867736,58.59472556932755,60.356139768427674,58.535682408234294,58.55183311022379,59.42381160116914,60.89970365423607,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbf,-8,62.938783081453934,66.74933244752141,68.14152842350626,68.25392036967315,65.70462741082939,67.17776484600839,67.36605823742093,64.54731356840543,68.03394196658337,68.2915392637833,65.2010486047694,62.938783081453934,60.66146642479427,56.76526916785924,59.858986929656226,59.742578138648014,60.394198560628865,58.28966628548859,59.94212440241506,59.11761998373813,58.48740781310763,58.57547689257373,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbg,-8,63.45097045159501,66.20213975288202,68.01870944840424,65.88102908096587,66.86906438799929,67.42522266936597,66.64177390374739,67.42620183582096,66.8671316761355,67.70181286684475,66.70966678641774,63.45097045159501,60.77825131533449,59.542678893125306,59.41850799275917,59.9552377933061,57.21677070980555,59.12442966512595,56.503082655089756,59.698091107833314,59.9805108814067,60.35980240901888,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbh,-8,63.080184479875896,66.40560161173705,66.5098131733486,66.69544780678295,67.5110342871779,66.52055927202774,67.52600570773934,66.44884069521112,67.97672905645972,65.10400639034357,65.98816872453978,63.080184479875896,58.97140093379697,57.916803287912096,60.03548735472044,60.26220015111243,61.29865481031974,59.47922658547306,59.81614322108379,58.71917101062241,58.92415989056153,59.253221369259784,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbi,-8,63.28427472356084,67.39994460644895,67.25529087643808,66.02882146604517,66.98927469715844,65.91659335524065,65.925912653619,68.51516516920114,67.28861844366996,68.74495622344672,65.64621380101845,63.28427472356084,57.54988554804233,59.749198314267474,58.61028135628734,58.24237308519941,57.25867009553101,59.150146779998046,57.74391872332298,58.95512388048848,57.55040053876409,60.67344076709401,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbj,-8,62.77821279679053,67.24179863053432,66.52751751638331,67.38038430596973,69.18848005568366,65.38833802147295,66.33221780947899,63.65933205633303,67.47818411169547,68.76600194882707,69.10938276416067,62.77821279679053,59.401622545905255,59.395789495587415,59.80244483972866,59.72877833551384,58.92355771614241,58.86792541383077,59.72960409049592,58.82027648485811,58.89031432792599,60.816235282034,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbk,-8,63.65332626886642,65.71175075555287,66.85935876193662,66.40766180654205,68.5028778110759,66.14573786991981,66.40748840125983,68.35785277159941,67.98926379984725,66.25399590599997,66.22797094939209,63.65332626886642,58.97575815637505,58.88450366586103,61.042110939309815,59.14151738196526,59.29169893167579,59.603739116453156,58.610239012682236,59.105803183733066,57.31530185221223,59.56666530972739,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbl,-8,63.304967531318354,65.96462293773072,66.82921961865846,66.43908070368387,66.9667952509981,68.21717172994076,68.04338874283717,66.57930528510188,68.13924776085128,65.53132962367063,66.4636538420637,63.304967531318354,61.34882960648258,58.824238108394766,59.549321938491815,58.33151414890392,58.75455178018322,59.86599413670603,58.789016874614305,59.178903019019735,59.20690326930846,57.54758371878242,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbm,-8,63.5330133199985,68.49670518459617,67.69730885676107,66.53942833889712,68.53780937184297,65.80225659978038,64.85745141427564,68.68558559722511,65.53781924542315,65.93121924893369,68.11533648772969,63.5330133199985,60.02050577906293,60.79124657042656,58.94547281514322,58.32605424481804,58.21900313722331,59.31455299727816,58.62007552335021,58.73265358835168,59.23047628362816,57.862107121831464,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
