filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,save
bbd,-8,68.0557587945421,66.52787403397261,66.10971718487237,67.48422666692396,68.79732196896855,67.56406698703822,65.28807701284528,66.72983266282068,68.24875125099754,67.10962896790464,57.47263859578932,59.49187999781317,58.99644262858798,58.70295367973353,57.44646512457607,59.12433105225194,59.71234030664298,58.18127790946333,58.79722486236376,58.48641303245152,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbe,-8,67.2614749289865,66.7889743546781,66.43547010156453,65.3071580429488,67.90677507135771,67.15398128184873,65.86091698129081,66.81057789252355,67.14201166926394,67.51827371737241,58.32194782492205,59.37273439831662,59.246834990072564,59.868396012272456,58.55609615116269,61.77977280570944,58.315369672216896,59.64538709148701,57.4545364760053,59.349465572766306,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbf,-8,68.50193985966074,66.67391926639667,67.84115369372643,68.40735076959882,68.15431806702989,66.34830547338778,66.21123306471854,67.48728596115167,66.1770015880961,66.43970110643579,58.4576405514357,59.76054065063999,57.79043008304888,59.011060379180215,58.533582533314835,58.89803913142793,58.700147853491785,59.14659563751166,57.088651298075376,58.69667287081149,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbg,-8,67.39782921099369,66.19156774682638,66.61913220134134,66.63860271602935,68.00227029998882,66.74127154960696,68.33968800307561,67.81091308137354,67.9699719472242,66.17367862489523,58.041641473263915,58.61445001088578,59.5884315063331,59.999814099327736,60.4024766141181,59.29054063975296,59.156579357779414,59.616694651205826,58.4924542672643,59.836281441595865,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbh,-8,67.61757221723536,67.45147960367777,66.06151268818043,67.5564957364642,70.18785253619606,65.35360029699265,68.03718986093811,66.06017846396462,67.43588976023408,66.21642453928445,59.09964302210413,59.146491409100165,59.21434906320686,59.39026871550715,60.6122195520785,59.763439216976124,58.783897681731695,59.15871371120391,58.38241319495106,58.23767803194034,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbi,-8,69.18149963707906,66.31446092877295,66.22749762023,66.70663195310178,68.14023207232951,66.79705315085414,67.90773774182537,67.84225437043119,67.0347585009472,69.19098615607959,59.10729009677292,58.3156340210778,60.86090328395615,59.415822437095535,59.330375759070364,58.987449483160724,57.48972796634663,57.64653758814232,58.253417083348324,60.25802397195999,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbj,-8,68.18251419751118,68.60085249849843,66.53511679484828,65.40356017304363,66.15379931249939,68.44154517236896,66.64682997110248,67.15186347784316,66.26805459235717,68.21254614398046,59.39641436525866,61.2331642271685,58.458241740972355,60.06824018535779,56.36045622670623,58.73336081862996,59.798497205996476,62.32584755780997,58.710254917950735,58.78736542969028,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbk,-8,67.28600669221062,67.6501603018213,67.92768666661729,68.30459959778885,66.06820659445762,65.91217822399081,66.25941894438058,68.23954998094374,66.78465429506244,65.78782092663198,59.086703851934125,59.82910207164041,59.0791385242439,59.542961852433216,57.81827318115156,57.867549325241455,57.7449306577604,60.680997163121226,58.90115594937358,58.79583704310403,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbl,-8,66.67584188435151,66.54116613157592,66.80848484036427,67.94688237883908,65.3115567957984,68.09883976889695,68.54120838449016,67.10977983936192,67.69917124736267,66.89094210095625,58.498245382308774,57.341427786652,57.59089619660102,60.01179310088583,59.63441092157561,59.882575252407165,57.68911358539631,58.588470440413495,57.498253920740105,59.95597585643783,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbm,-8,67.50417979163488,66.8444815062541,67.17954169003941,65.20645938042833,65.4564155672787,66.93360832426457,66.63074351088464,66.37892477293035,66.98589804346237,66.92219359225574,59.31730892018941,58.47867279739826,57.06894762944478,58.00304217185645,59.82752462770837,59.603596184965554,58.88176298737592,58.538830377925876,60.088055952341776,59.38788302789146,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
